Ano,25-34,Básico - 1º Ciclo,Básico - 2º Ciclo,Básico - 3º Ciclo e secundário,Educação Pré-Escolar,Homens
2010,52.6,908.5050445103858,150.0,36.0,606.0225288159273,4006.4644790257103
2010,62.3,908.5050445103858,266.7,63.2,606.0225288159273,4006.4644790257103
2010,48.5,300.0,400.0,14.3,300.0,4006.4644790257103
2010,56.4,908.5050445103858,33.3,23.1,33.3,4006.4644790257103
2010,51.1,200.0,200.0,1157.552021089631,606.0225288159273,4006.4644790257103
2010,379.0,633.3,340.0,106.3,360.0,4006.4644790257103
2010,44.9,908.5050445103858,100.0,14.3,606.0225288159273,4006.4644790257103
2010,55.3,450.0,997.7471821756225,87.5,300.0,4006.4644790257103
2010,156.3,466.7,130.0,97.0,450.0,4006.4644790257103
2010,104.8,111.1,133.3,50.0,500.0,4006.4644790257103
2010,519.6,1750.0,300.0,163.3,245.5,4006.4644790257103
2010,2088.1,90.8,101.5,49.4,50.7,4006.4644790257103
2010,29.3,200.0,50.0,33.3,606.0225288159273,4006.4644790257103
2010,98.1,200.0,27.3,50.0,100.0,4006.4644790257103
2010,345.7,20.0,65.7,26.1,29.4,4006.4644790257103
2010,482.5,52.8,128.6,105.3,47.4,4006.4644790257103
2010,436.0,375.0,182.4,84.0,140.0,4006.4644790257103
2010,1158.3,100.0,136.0,110.4,89.8,4006.4644790257103
2010,1016.8,54.1,125.0,52.8,56.5,4006.4644790257103
2010,2022.3,35.5,83.1,134.8,36.2,4006.4644790257103
2010,300.1,64.7,215.4,50.0,111.1,4006.4644790257103
2010,603.2,41.9,32.4,14.0,107.7,4006.4644790257103
2010,215.1,73.3,233.3,315.4,233.3,4006.4644790257103
2010,166.6,1550.0,190.9,130.4,233.3,4006.4644790257103
2010,738.9,33.3,56.8,56.7,44.7,4006.4644790257103
2010,1872.2,68.9,192.8,209.9,50.8,4006.4644790257103
2010,247.3,350.0,310.0,79.3,450.0,4006.4644790257103
2010,37.6,908.5050445103858,997.7471821756225,11.8,606.0225288159273,4006.4644790257103
2010,937.0,107.1,47.3,22.2,222.2,4006.4644790257103
2010,436.9,54.3,118.5,120.0,115.4,4006.4644790257103
2010,22.8,100.0,120.0,18.2,606.0225288159273,4006.4644790257103
2010,1981.8,70.2,235.6,193.8,73.4,4006.4644790257103
2010,32.2,908.5050445103858,133.3,69.2,700.0,4006.4644790257103
2010,199.0,171.4,245.5,240.0,142.9,4006.4644790257103
2010,30.8,300.0,128.6,36.8,606.0225288159273,4006.4644790257103
2010,117.2,250.0,133.3,16.0,200.0,4006.4644790257103
2010,150.5,260.0,533.3,185.7,66.7,4006.4644790257103
2010,128.0,200.0,700.0,144.4,606.0225288159273,4006.4644790257103
2010,71.1,1200.0,333.3,77.8,300.0,4006.4644790257103
2010,374.7,908.5050445103858,225.0,128.0,100.0,4006.4644790257103
2010,85.3,908.5050445103858,1500.0,95.5,300.0,4006.4644790257103
2010,138.4,1800.0,85.7,31.8,266.7,4006.4644790257103
2010,1031.4,58.6,82.8,113.8,83.3,4006.4644790257103
